time,lat,lon,ele
2025-09-05 16:28:37.913538,44.7207482,-76.8398517,10543.30
2025-09-05 16:28:38.390759,44.9479252,-76.8838098,10628.08
2025-09-05 16:28:38.930195,44.0014357,-76.6920770,10274.95
2025-09-05 16:28:39.418302,43.4843994,-76.5890640,10082.24
2025-09-05 16:28:39.890964,44.2503878,-76.7371610,10367.80
2025-09-05 16:28:40.434233,45.4382707,-76.9757487,10811.09
2025-09-05 16:28:40.909993,45.4100988,-76.9677212,10800.58
2025-09-05 16:28:41.390931,44.9516548,-76.8716256,10629.47
2025-09-05 16:28:41.930053,46.2305672,-77.1351860,11106.74
2025-09-05 16:28:42.409919,45.8980189,-77.0626570,10982.67
2025-09-05 16:28:42.891457,44.2550379,-76.7255451,10369.54
2025-09-05 16:28:43.430863,44.2558123,-76.7236093,10369.83
2025-09-05 16:28:43.910433,43.7910870,-76.6303141,10196.53
2025-09-05 16:28:44.392067,43.7180928,-76.6140804,10169.32
2025-09-05 16:28:44.930289,44.7301406,-76.8118568,10546.80
2025-09-05 16:28:45.416374,45.6754921,-77.0027627,10899.63
2025-09-05 16:28:45.890346,44.9572378,-76.8533522,10631.56
2025-09-05 16:28:46.430336,44.4554443,-76.7506104,10444.30
2025-09-05 16:28:46.910836,44.7113256,-76.7995512,10539.78
2025-09-05 16:28:47.390897,44.7267521,-76.8005106,10545.54
2025-09-05 16:28:47.930487,43.9868717,-76.6520607,10269.52
2025-09-05 16:28:48.411451,43.6847353,-76.5913338,10156.89
2025-09-05 16:28:48.889943,44.9609521,-76.8411720,10632.94
2025-09-05 16:28:49.436011,44.2208671,-76.6916818,10356.79
2025-09-05 16:28:49.912877,44.2216491,-76.6897521,10357.08
2025-09-05 16:28:50.390658,44.2224310,-76.6878225,10357.37
2025-09-05 16:28:50.870676,44.2232127,-76.6858928,10357.67
2025-09-05 16:28:51.414029,38.8968981,-75.7238081,8388.86
2025-09-05 16:28:51.890083,42.4224177,-76.3390928,9687.15
2025-09-05 16:28:52.370969,42.5755787,-76.3655193,9744.05
2025-09-05 16:28:52.910484,41.9799382,-76.2541930,9522.93
2025-09-05 16:28:53.392612,43.6044146,-76.5555888,10126.96
2025-09-05 16:28:53.873151,44.2036600,-76.6695730,10350.37
2025-09-05 16:28:54.410832,43.3621321,-76.5053214,10036.70
2025-09-05 16:28:54.889885,43.3631046,-76.5035051,10037.06
2025-09-05 16:28:55.369528,44.7060615,-76.7623013,10537.82
2025-09-05 16:28:55.909984,42.8408089,-76.4012604,9842.66
2025-09-05 16:28:56.389858,44.4700166,-76.7113798,10449.74
2025-09-05 16:28:56.877486,44.9708275,-76.8086991,10636.63
2025-09-05 16:28:57.410270,43.4214102,-76.5045593,10058.78
2025-09-05 16:28:57.890833,45.4884292,-76.9089097,10829.82
2025-09-05 16:28:58.370751,44.4729231,-76.7035351,10450.82
2025-09-05 16:28:58.910852,44.2115117,-76.6503114,10353.30
2025-09-05 16:28:59.390269,43.6154284,-76.5334157,10131.06
2025-09-05 16:28:59.870745,43.6842544,-76.5445261,10156.71
2025-09-05 16:29:00.409938,46.2641452,-77.0578304,11119.26
2025-09-05 16:29:00.890315,43.6860572,-76.5408130,10157.38
2025-09-05 16:29:01.370733,42.1117191,-76.2461346,9571.81
2025-09-05 16:29:01.913903,41.6634660,-76.1636474,9405.65
2025-09-05 16:29:02.391466,41.5713726,-76.1453904,9371.55
2025-09-05 16:29:02.878076,42.6970582,-76.3473764,9789.21
2025-09-05 16:29:03.410266,44.5104009,-76.6898409,10464.81
2025-09-05 16:29:03.895074,44.0133036,-76.5916774,10279.38
2025-09-05 16:29:04.370845,44.2880345,-76.6427109,10381.84
2025-09-05 16:29:04.910906,43.9505836,-76.5755167,10255.99
2025-09-05 16:29:05.395678,44.4829298,-76.6764745,10454.56
2025-09-05 16:29:05.870904,42.4551710,-76.2918523,9699.32
2025-09-05 16:29:06.410714,40.4776835,-86.2501399,8967.77
2025-09-05 16:29:06.889549,39.5446455,-87.0461802,8625.31
2025-09-05 16:29:07.369573,41.4754613,-85.9450862,9336.05
2025-09-05 16:29:07.910714,39.6896337,-86.3267170,8678.39
2025-09-05 16:29:08.396381,40.3196775,-87.2656720,8909.63
2025-09-05 16:29:08.870357,39.0233499,-86.9211145,8434.93
2025-09-05 16:29:09.349965,42.0394835,-86.5272505,9545.01
2025-09-05 16:29:09.891190,40.6417190,-86.9376558,9028.18
2025-09-05 16:29:10.369696,40.1773712,-87.0322739,8857.32
2025-09-05 16:29:10.850204,39.0729946,-87.0531160,8453.03
2025-09-05 16:29:11.389861,40.4524097,-87.4414949,8958.47
2025-09-05 16:29:11.870746,39.4426477,-87.4680933,8588.00
2025-09-05 16:29:12.351223,39.8028705,-87.2041073,8719.88
2025-09-05 16:29:12.891081,39.1097627,-87.3450542,8466.44
2025-09-05 16:29:13.374413,40.0029612,-87.1282672,8793.27
2025-09-05 16:29:13.850463,40.1524416,-86.5417507,8848.16
2025-09-05 16:29:14.389984,38.2752655,-87.0468502,8163.06
2025-09-05 16:29:14.870626,38.2180713,-88.1386411,8142.35
2025-09-05 16:29:15.351030,38.3748511,-87.2192179,8199.16
2025-09-05 16:29:15.890385,39.5779333,-88.4482575,8637.49
2025-09-05 16:29:16.370044,41.7293549,-87.2609070,9430.05
2025-09-05 16:29:16.849577,41.1733597,-89.1475267,9224.34
2025-09-05 16:29:17.390653,39.1202363,-88.0654436,8470.26
2025-09-05 16:29:17.870362,39.1085126,-87.5049633,8465.98
2025-09-05 16:29:18.350417,40.7212801,-85.3239289,9057.50
2025-09-05 16:29:18.890025,40.2717098,-86.5147474,8891.99
2025-09-05 16:29:19.369832,41.6185990,-85.0089255,9389.03
